"Schnieder, M.Using Explainable Artificial Intelligence (XAI) to Predict the Influence of Weather on the Thermal Soaring Capabilities of Sailplanes for Smart City Applications. Smart Cities 2024, 7, 163-178.https://doi.org/10.3390/smartcities7010007",3,Smart Cities

"José, R.; Rodrigues, H.A Review on Key Innovation Challenges for Smart City Initiatives. Smart Cities 2024, 7, 141-162.https://doi.org/10.3390/smartcities7010006",3,Smart Cities

"Boakye-Boateng, K.; Ghorbani, A.A.; Lashkari, A.H.Implementation of a Trust-Based Framework for Substation Defense in the Smart Grid. Smart Cities 2024, 7, 99-140.https://doi.org/10.3390/smartcities7010005",3,Smart Cities

"Lipianina-Honcharenko, K.; Komar, M.; Osolinskyi, O.; Shymanskyi, V.; Havryliuk, M.; Semaniuk, V.Intelligent Waste-Volume Management Method in the Smart City Concept. Smart Cities 2024, 7, 78-98.https://doi.org/10.3390/smartcities7010004",3,Smart Cities

"Alasali, F.; Itradat, A.; Abu Ghalyon, S.; Abudayyeh, M.; El-Naily, N.; Hayajneh, A.M.; AlMajali, A.Smart Grid Resilience for Grid-Connected PV and Protection Systems under Cyber Threats. Smart Cities 2024, 7, 51-77.https://doi.org/10.3390/smartcities7010003",3,Smart Cities

"Medina-Garcia, A.; Duarte-Jasso, J.; Cardenas-Cornejo, J.-J.; Andrade-Ambriz, Y.A.; Garcia-Montoya, M.-A.; Ibarra-Manzano, M.-A.; Almanza-Ojeda, D.-L.Vision-Based Object Localization and Classification for Electric Vehicle Driving Assistance. Smart Cities 2024, 7, 33-50.https://doi.org/10.3390/smartcities7010002",3,Smart Cities

"Kolokotsa, D.; Lilli, A.; Tsekeri, E.; Gobakis, K.; Katsiokalis, M.; Mania, A.; Baldacchino, N.; Polychronaki, S.; Buckley, N.; Micallef, D.;et al. The Intersection of the Green and the Smart City: A Data Platform for Health and Well-Being through Nature-Based Solutions. Smart Cities 2024, 7, 1-32.https://doi.org/10.3390/smartcities7010001",3,Smart Cities

"Li, W.; Yigitcanlar, T.; Nili, A.; Browne, W.Tech Giants’ Responsible Innovation and Technology Strategy: An International Policy Review. Smart Cities 2023, 6, 3454-3492.https://doi.org/10.3390/smartcities6060153",3,Smart Cities

"Mohamed, A.A.A.; Zafar, K.; Vaidya, D.; Salmeron, L.; Kanwhen, O.; Esa, Y.; Kamaludeen, M.Grid Impact of Wastewater Resource Recovery Facilities-Based Community Microgrids. Smart Cities 2023, 6, 3427-3453.https://doi.org/10.3390/smartcities6060152",3,Smart Cities

"Lin, S.-S.; Zhu, K.-Y.; Zhang, X.-H.; Liu, Y.-C.; Wang, C.-Y.Development of a Microservice-Based Storm Sewer Simulation System with IoT Devices for Early Warning in Urban Areas. Smart Cities 2023, 6, 3411-3426.https://doi.org/10.3390/smartcities6060151",3,Smart Cities

"Zhang, Q.; Su, W.-H.Real-Time Recognition and Localization of Apples for Robotic Picking Based on Structural Light and Deep Learning. Smart Cities 2023, 6, 3393-3410.https://doi.org/10.3390/smartcities6060150",3,Smart Cities

"Tutak, M.; Brodny, J.A Smart City Is a Safe City: Analysis and Evaluation of the State of Crime and Safety in Polish Cities. Smart Cities 2023, 6, 3359-3392.https://doi.org/10.3390/smartcities6060149",3,Smart Cities

